date,amount,merchant,category,account_id,description
2023-01-01,-4.25,Local Coffee,Coffee,acc_001,Coffee purchase
2023-01-01,-30,Uber,Rideshare,acc_001,Weekend ride
2023-01-02,1800,Employer,Income,acc_001,Salary deposit
2023-01-02,-25,Gym Membership,Subscriptions,acc_001,Bi-weekly subscription
2023-01-02,-52.99,Adobe Creative,Subscriptions,acc_001,Quarterly subscription
2023-01-02,-139,Amazon Prime,Subscriptions,acc_001,Annual subscription
2023-01-02,-3.5,Starbucks,Coffee,acc_001,Coffee purchase
2023-01-02,-12,Lyft,Rideshare,acc_001,Weekend ride
2023-01-03,-12.99,Blue Apron,Subscriptions,acc_001,Weekly subscription
2023-01-03,-4.25,Local Coffee,Coffee,acc_001,Coffee purchase
2023-01-04,-45,Cleaning Service,Subscriptions,acc_001,Bi-weekly subscription
2023-01-04,-4.25,Starbucks,Coffee,acc_001,Coffee purchase
2023-01-05,-14.99,HelloFresh,Subscriptions,acc_001,Weekly subscription
2023-01-05,-4.25,Local Coffee,Coffee,acc_001,Coffee purchase
2023-01-05,-5.5,Local Coffee,Coffee,acc_001,Coffee purchase
2023-01-07,-25,Sweetgreen,Restaurants,acc_001,Friday dinner
2023-01-08,-5.5,Starbucks,Coffee,acc_001,Coffee purchase
2023-01-08,-24,Lyft,Rideshare,acc_001,Weekend ride
2023-01-08,-96,Whole Foods,Groceries,acc_001,Grocery shopping
2023-01-09,-12,Uber,Rideshare,acc_001,Weekend ride
2023-01-10,-12.99,Blue Apron,Subscriptions,acc_001,Weekly subscription
2023-01-10,-3.5,Dunkin,Coffee,acc_001,Coffee purchase
2023-01-10,-5.5,Local Coffee,Coffee,acc_001,Coffee purchase
2023-01-11,-4.25,Starbucks,Coffee,acc_001,Coffee purchase
2023-01-11,-5.5,Starbucks,Coffee,acc_001,Coffee purchase
2023-01-11,-120,Whole Foods,Groceries,acc_001,Grocery shopping
2023-01-12,-14.99,HelloFresh,Subscriptions,acc_001,Weekly subscription
2023-01-12,-3.5,Dunkin,Coffee,acc_001,Coffee purchase
2023-01-13,-3.5,Local Coffee,Coffee,acc_001,Coffee purchase
2023-01-14,-4.25,Local Coffee,Coffee,acc_001,Coffee purchase
2023-01-14,-25,Chipotle,Restaurants,acc_001,Friday dinner
